AddressCountry,AddressCountrySubd,AddressLine1,AddressLine2,AddressLocality,AddressMatchCode,AddressOneLine,AddressPostal1,AddressPostal2,AddressPostal3,BuildingRoomsBathstotal,BuildingRoomsBeds,BuildingSizeUniversalsize,IdentifierApn,IdentifierAttomId,IdentifierFips,IdentifierObPropId,LocationAccuracy,LocationDistance,LocationElevation,LocationGeoid,LocationLatitude,LocationLongitude,LotLotSize1,SummaryPropIndicator,SummaryPropLandUse,SummaryPropclass,SummaryProptype,SummaryPearbuilt,VintageLastModified,VintagePubDate
US,TX,11622 DOYLE OVERTON RD,"AUSTIN, TX 78719",Austin,ExaStr,"11622 DOYLE OVERTON RD, AUSTIN, TX 78719",78719,6185,R002,2.0,0,3001,837057,250468811,48453,25046881148453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.072311,-97.646442,1.0,70,FARMS,Agricultural,FARMS,1990,2019-1-10,2019-1-24
US,TX,11624 DOYLE OVERTON RD,"AUSTIN, TX 78719",Austin,ExaStr,"11624 DOYLE OVERTON RD, AUSTIN, TX 78719",78719,9706,R002,0.0,0,0,884391,323627445,48453,32362744548453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.072340,-97.646428,3.9924,80,RESIDENTIAL ACREAGE,Vacant,RESIDENTIAL ACREAGE,0,2019-1-10,2019-1-24
US,TX,11628 DOYLE OVERTON RD,"AUSTIN, TX 78719",Austin,ExaStr,"11628 DOYLE OVERTON RD, AUSTIN, TX 78719",78719,,,0.0,0,0,301329,166032421,48453,16603242148453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.072377,-97.646421,12.095,80,VACANT LAND (NEC),Vacant,VACANT LAND (NEC),1950,2019-1-10,2019-1-24
US,TX,11600 DOYLE OVERTON RD,"AUSTIN, TX 78719",Austin,ExaStr,"11600 DOYLE OVERTON RD, AUSTIN, TX 78719",78719,9714,R002,2.0,4,3500,301330,27890266,48453,2789026648453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.073944,-97.644931,2.0,10,SFR,Single Family Residence / Townhouse,SFR,1985,2019-1-10,2019-1-24
US,TX,11600 DOYLE OVERTON RD APT C,"AUSTIN, TX 78719",Austin,ExaStr,"11600 DOYLE OVERTON RD APT C, AUSTIN, TX 78719",78719,9732,R002,0.0,0,2076,760868,206694150,48453,20669415048453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, ZI78719",30.073944,-97.644931,8.0,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,2009,2019-1-10,2019-1-24
US,TX,11600 DOYLE OVERTON RD APT B,"AUSTIN, TX 78719",Austin,ExaStr,"11600 DOYLE OVERTON RD APT B, AUSTIN, TX 78719",78719,9732,R002,0.0,0,2200,760869,216303783,48453,21630378348453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.073944,-97.644931,4.106,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,2009,2019-1-10,2019-1-24
US,TX,11529 DOYLE OVERTON RD,"AUSTIN, TX 78719",Austin,ExaStr,"11529 DOYLE OVERTON RD, AUSTIN, TX 78719",78719,9749,R002,0.0,0,0,301366,149713403,48453,14971340348453,Street,0.0,0.0,"CO48453, CS4890165, DB4809570, SB0000118683, SB0000118688, SB0000118690, SB0000118692, ZI78719",30.074042,-97.644410,18.084,80,AGRICULTURAL (NEC),Vacant,AGRICULTURAL (NEC),1996,2019-1-10,2019-1-24
US,TX,11533 DOYLE OVERTON RD,"AUSTIN, TX 78719",Austin,ExaStr,"11533 DOYLE OVERTON RD, AUSTIN, TX 78719",78719,9749,R002,3.0,0,1724,301362,35663321,48453,3566332148453,Street,0.0,0.0,"CO48453, CS4890165, DB4809570, SB0000118683, SB0000118688, SB0000118690, SB0000118692, ZI78719",30.074098,-97.644351,44.65,70,FARMS,Agricultural,FARMS,1996,2019-1-10,2019-1-24
US,TX,15101 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15101 POCMONT TRL, AUSTIN, TX 78719",78719,9731,R002,0.0,0,1456,301351,166835537,48453,16683553748453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.074725,-97.643902,0.96,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1985,2019-1-10,2019-1-24
US,TX,11527 DOYLE OVERTON RD,"AUSTIN, TX 78719",Austin,ExaStr,"11527 DOYLE OVERTON RD, AUSTIN, TX 78719",78719,9749,R002,0.0,0,0,301365,166835553,48453,16683555348453,Street,0.0,0.0,"CO48453, CS4890165, DB4809570, SB0000118683, SB0000118688, SB0000118690, SB0000118692, ZI78719",30.074730,-97.643691,25.108,70,FARMS,Agricultural,FARMS,1996,2019-1-10,2019-1-24
US,TX,15103 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15103 POCMONT TRL, AUSTIN, TX 78719",78719,9731,R002,0.0,0,1216,301352,35688539,48453,3568853948453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, ZI78719",30.074743,-97.643923,1.22,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1986,2019-1-10,2019-1-24
US,TX,15105 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15105 POCMONT TRL, AUSTIN, TX 78719",78719,9731,R002,0.0,0,2128,301353,29323485,48453,2932348548453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.074761,-97.643944,0.81,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1997,2019-1-10,2019-1-24
US,TX,15107 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15107 POCMONT TRL, AUSTIN, TX 78719",78719,9731,R002,0.0,0,924,301354,523655,48453,52365548453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.074778,-97.643965,0.82,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1983,2019-1-10,2019-1-24
US,TX,15109 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15109 POCMONT TRL, AUSTIN, TX 78719",78719,9731,R002,0.0,0,1232,301355,7768985,48453,776898548453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.074796,-97.643986,0.82,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1984,2019-1-10,2019-1-24
US,TX,15100 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15100 POCMONT TRL, AUSTIN, TX 78719",78719,9731,R002,0.0,0,1728,301350,50785999,48453,5078599948453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.074935,-97.643698,0.85,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1996,2019-1-10,2019-1-24
US,TX,15102 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15102 POCMONT TRL, AUSTIN, TX 78719",78719,9731,R002,1.0,0,320,301349,35688523,48453,3568852348453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.074952,-97.643719,1.59,10,SFR,Single Family Residence / Townhouse,SFR,1985,2019-1-10,2019-1-24
US,TX,15104 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15104 POCMONT TRL, AUSTIN, TX 78719",78719,9731,R002,0.0,0,1456,301348,166835536,48453,16683553648453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.074970,-97.643740,1.49,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1982,2019-1-10,2019-1-24
US,TX,15106 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15106 POCMONT TRL, AUSTIN, TX 78719",78719,9731,R002,0.0,0,1040,301347,27890267,48453,2789026748453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.074988,-97.643760,1.23,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1990,2019-1-10,2019-1-24
US,TX,15108 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15108 POCMONT TRL, AUSTIN, TX 78719",78719,9731,R002,0.0,0,1568,301346,34481988,48453,3448198848453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.075005,-97.643781,1.24,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1985,2019-1-10,2019-1-24
US,TX,15110 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15110 POCMONT TRL, AUSTIN, TX 78719",78719,9731,R002,0.0,0,1216,301345,510230,48453,51023048453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.075023,-97.643802,0.78,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1985,2019-1-10,2019-1-24
US,TX,11450 DOYLE OVERTON RD # 43,"AUSTIN, TX 78719",Austin,ExaStr,"11450 DOYLE OVERTON RD # 43, AUSTIN, TX 78719",78719,9748,R002,0.0,0,0,301338,142088916,48453,14208891648453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.075287,-97.643511,23.393,80,AGRICULTURAL (NEC),Vacant,AGRICULTURAL (NEC),1923,2019-1-10,2019-1-24
US,TX,11450 DOYLE OVERTON RD,"AUSTIN, TX 78719",Austin,ExaStr,"11450 DOYLE OVERTON RD, AUSTIN, TX 78719",78719,9748,R002,0.0,0,728,301322,241906572,48453,24190657248453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.075287,-97.643511,23.393,80,VACANT LAND (NEC),Vacant,VACANT LAND (NEC),1980,2019-1-10,2019-1-24
US,TX,15201 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15201 POCMONT TRL, AUSTIN, TX 78719",78719,9781,R002,0.0,0,1456,301356,13358630,48453,1335863048453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.075609,-97.644948,0.82,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1986,2019-1-10,2019-1-24
US,TX,15203 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15203 POCMONT TRL, AUSTIN, TX 78719",78719,9781,R002,1.0,2,560,301357,166835538,48453,16683553848453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.075627,-97.644969,0.82,10,SFR,Single Family Residence / Townhouse,SFR,1987,2019-1-10,2019-1-24
US,TX,15205 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15205 POCMONT TRL, AUSTIN, TX 78719",78719,9781,R002,0.0,0,672,301358,41721059,48453,4172105948453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.075644,-97.644990,0.82,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1984,2019-1-10,2019-1-24
US,TX,15207 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15207 POCMONT TRL, AUSTIN, TX 78719",78719,9781,R002,0.0,0,840,301359,149713404,48453,14971340448453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.075662,-97.645010,0.82,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1973,2019-1-10,2019-1-24
US,TX,15209 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15209 POCMONT TRL, AUSTIN, TX 78719",78719,9781,R002,0.0,0,2128,301360,35699265,48453,3569926548453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.075680,-97.645031,0.81,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1996,2019-1-10,2019-1-24
US,TX,15200 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15200 POCMONT TRL, AUSTIN, TX 78719",78719,9780,R002,0.0,0,1368,301344,13364173,48453,1336417348453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.075819,-97.644743,0.78,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1996,2019-1-10,2019-1-24
US,TX,15202 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15202 POCMONT TRL, AUSTIN, TX 78719",78719,9780,R002,0.0,0,1120,301343,166032428,48453,16603242848453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, ZI78719",30.075836,-97.644764,0.78,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1984,2019-1-10,2019-1-24
US,TX,15204 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15204 POCMONT TRL, AUSTIN, TX 78719",78719,9780,R002,0.0,0,1216,301342,35693553,48453,3569355348453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.075854,-97.644785,0.78,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1985,2019-1-10,2019-1-24
US,TX,15206 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15206 POCMONT TRL, AUSTIN, TX 78719",78719,9780,R002,0.0,0,960,301341,166032427,48453,16603242748453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.075872,-97.644806,0.78,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1986,2019-1-10,2019-1-24
US,TX,15208 POCMONT TRL,"AUSTIN, TX 78719",Austin,ExaStr,"15208 POCMONT TRL, AUSTIN, TX 78719",78719,,,0.0,0,728,301340,144124920,48453,14412492048453,Street,0.0,0.0,"CO48453, CS4890165, DB4816620, RS0000234131, SB0000119930, SB0000119931, SB0000119939, ZI78719",30.075889,-97.644827,0.76,10,SFR,Single Family Residence / Townhouse,SFR,1984,2019-1-10,2019-1-24
US,TX,11425 DOYLE OVERTON RD # 1,"AUSTIN, TX 78719",Austin,ExaStr,"11425 DOYLE OVERTON RD # 1, AUSTIN, TX 78719",78719,9748,R002,0.0,0,1232,301339,35653533,48453,3565353348453,Street,0.0,0.0,"CO48453, CS4890165, DB4809570, SB0000118683, SB0000118688, SB0000118690, SB0000118692, ZI78719",30.077037,-97.642515,2.09,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1971,2019-1-10,2019-1-24
US,TX,11435 DOYLE OVERTON RD,"AUSTIN, TX 78719",Austin,ExaStr,"11435 DOYLE OVERTON RD, AUSTIN, TX 78719",78719,,,0.0,0,0,301363,50750779,48453,5075077948453,Street,0.0,0.0,"CO48453, CS4890165, DB4809570, ZI78719",30.077958,-97.641465,115.84,70,FARMS,Agricultural,FARMS,1996,2019-1-10,2019-1-24
US,TX,8106 EVELYN RD,"AUSTIN, TX 78610",Austin,ExaZip,"8106 EVELYN RD, AUSTIN, TX 78610",78610,,,0.0,0,0,301213,166835516,48453,16683551648453,Zip5,0.0,0.0,"CO48209, CS4892065, DB4800010, PL4811080, SB0000121121, SB0000121123, SB0000121125, ZI78610",30.078160,-97.843750,118.7106,80,AGRICULTURAL (NEC),Vacant,AGRICULTURAL (NEC),1946,2019-1-10,2019-1-24
US,TX,OLD LOCKHART RD,"AUSTIN, TX 78610",Austin,ExaZip,"OLD LOCKHART RD, AUSTIN, TX 78610",78610,,,2.0,0,1992,299799,241906195,48453,24190619548453,Zip5,0.0,0.0,"CO48209, CS4892065, DB4800010, PL4811080, SB0000121121, SB0000121123, SB0000121125, ZI78610",30.078160,-97.843750,180.0,70,FARMS,Agricultural,FARMS,1970,2019-1-10,2019-1-24
US,TX,OLD LOCKHART RD,"AUSTIN, TX 78610",Austin,ExaZip,"OLD LOCKHART RD, AUSTIN, TX 78610",78610,,,0.0,0,0,299800,241906196,48453,24190619648453,Zip5,0.0,0.0,"CO48209, CS4892065, DB4800010, PL4811080, SB0000121121, SB0000121123, SB0000121125, ZI78610",30.078160,-97.843750,152.2,80,AGRICULTURAL (NEC),Vacant,AGRICULTURAL (NEC),1970,2019-1-10,2019-1-24
US,TX,OLD LOCKHART RD,"AUSTIN, TX 78610",Austin,ExaZip,"OLD LOCKHART RD, AUSTIN, TX 78610",78610,,,0.0,0,0,299807,241906199,48453,24190619948453,Zip5,0.0,0.0,"CO48209, CS4892065, DB4800010, PL4811080, ZI78610",30.078160,-97.843750,52.16,70,FARMS,Agricultural,FARMS,1965,2019-4-11,2019-4-25
US,TX,OLD LOCKHART RD,"AUSTIN, TX 78610",Austin,ExaZip,"OLD LOCKHART RD, AUSTIN, TX 78610",78610,,,0.0,0,1288,299813,241906201,48453,24190620148453,Zip5,0.0,0.0,"CO48209, CS4892065, DB4800010, PL4811080, SB0000121121, SB0000121123, SB0000121125, ZI78610",30.078160,-97.843750,46.21,70,FARMS,Agricultural,FARMS,1999,2019-1-10,2019-1-24
US,TX,EVELYN RD,"AUSTIN, TX 78610",Austin,ExaZip,"EVELYN RD, AUSTIN, TX 78610",78610,,,0.0,0,0,755559,241906522,48453,24190652248453,Zip5,0.0,0.0,"CO48209, CS4892065, DB4800010, PL4811080, SB0000121121, SB0000121123, SB0000121125, ZI78610",30.078160,-97.843750,33.831,80,AGRICULTURAL (NEC),Vacant,AGRICULTURAL (NEC),1970,2019-1-10,2019-1-24
US,TX,EVELYN RD,"AUSTIN, TX 78610",Austin,ExaZip,"EVELYN RD, AUSTIN, TX 78610",78610,,,0.0,0,0,755561,241906531,48453,24190653148453,Zip5,0.0,0.0,"CO48209, CS4892065, DB4800010, PL4811080, ZI78610",30.078160,-97.843750,3.08,70,FARMS,Agricultural,FARMS,1960,2019-1-10,2019-1-24
US,TX,EVELYN RD,"AUSTIN, TX 78610",Austin,ExaZip,"EVELYN RD, AUSTIN, TX 78610",78610,,,0.0,0,0,301151,241906532,48453,24190653248453,Zip5,0.0,0.0,"CO48209, CS4892065, DB4800010, PL4811080, SB0000121121, SB0000121123, SB0000121125, ZI78610",30.078160,-97.843750,14.77,80,RESIDENTIAL ACREAGE,Vacant,RESIDENTIAL ACREAGE,1986,2019-1-10,2019-1-24
US,TX,OLD LOCKHART RD,"AUSTIN, TX 78610",Austin,ExaZip,"OLD LOCKHART RD, AUSTIN, TX 78610",78610,,,1.0,0,992,349869,241907480,48453,24190748048453,Zip5,0.0,0.0,"CO48209, CS4892065, DB4800010, PL4811080, SB0000121121, SB0000121123, SB0000121125, ZI78610",30.078160,-97.843750,1.0,70,FARMS,Agricultural,FARMS,1935,2019-5-22,2019-5-24
US,TX,OLD LOCKHART RD,"AUSTIN, TX 78610",Austin,ExaZip,"OLD LOCKHART RD, AUSTIN, TX 78610",78610,,,0.0,0,1757,349870,241907481,48453,24190748148453,Zip5,0.0,0.0,"CO48209, CS4892065, DB4800010, PL4811080, ZI78610",30.078160,-97.843750,168.482,80,AGRICULTURAL (NEC),Vacant,AGRICULTURAL (NEC),1935,2019-1-10,2019-1-24
US,TX,OLD LOCKHART RD,"AUSTIN, TX 78610",Austin,ExaZip,"OLD LOCKHART RD, AUSTIN, TX 78610",78610,,,0.0,0,0,349871,241907482,48453,24190748248453,Zip5,0.0,0.0,"CO48209, CS4892065, DB4800010, PL4811080, SB0000121121, SB0000121123, SB0000121125, ZI78610",30.078160,-97.843750,0.81,80,AGRICULTURAL (NEC),Vacant,AGRICULTURAL (NEC),1935,2019-1-10,2019-1-24
US,TX,OLD LOCKHART RD,"AUSTIN, TX 78610",Austin,ExaZip,"OLD LOCKHART RD, AUSTIN, TX 78610",78610,,,0.0,0,0,349872,241907483,48453,24190748348453,Zip5,0.0,0.0,"CO48209, CS4892065, DB4800010, PL4811080, SB0000121121, SB0000121123, SB0000121125, ZI78610",30.078160,-97.843750,62.36,80,AGRICULTURAL (NEC),Vacant,AGRICULTURAL (NEC),1935,2019-1-10,2019-1-24
US,TX,OLD LOCKHART RD,"AUSTIN, TX 78610",Austin,ExaZip,"OLD LOCKHART RD, AUSTIN, TX 78610",78610,,,0.0,0,0,351850,241907644,48453,24190764448453,Zip5,0.0,0.0,"CO48209, CS4892065, DB4800010, PL4811080, SB0000121121, SB0000121123, SB0000121125, ZI78610",30.078160,-97.843750,74.42,70,FARMS,Agricultural,FARMS,1965,2019-1-10,2019-1-24
US,TX,OLD LOCKHART RD,"AUSTIN, TX 78610",Austin,ExaZip,"OLD LOCKHART RD, AUSTIN, TX 78610",78610,,,0.0,0,0,351851,241907645,48453,24190764548453,Zip5,0.0,0.0,"CO48209, CS4892065, DB4800010, PL4811080, SB0000121121, SB0000121123, SB0000121125, ZI78610",30.078160,-97.843750,1.0,10,SFR,Single Family Residence / Townhouse,SFR,1975,2019-1-10,2019-1-24
US,TX,OLD LOCKHART RD,"AUSTIN, TX 78610",Austin,ExaZip,"OLD LOCKHART RD, AUSTIN, TX 78610",78610,,,0.0,0,1904,351852,241907646,48453,24190764648453,Zip5,0.0,0.0,"CO48209, CS4892065, DB4800010, PL4811080, SB0000121121, SB0000121123, SB0000121125, ZI78610",30.078160,-97.843750,0.9928,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1979,2019-1-10,2019-1-24
US,TX,OLD LOCKHART RD,"AUSTIN, TX 78610",Austin,ExaZip,"OLD LOCKHART RD, AUSTIN, TX 78610",78610,,,0.0,0,742,351853,241907647,48453,24190764748453,Zip5,0.0,0.0,"CO48209, CS4892065, DB4800010, PL4811080, ZI78610",30.078160,-97.843750,8.022,10,MOBILE HOME,Single Family Residence / Townhouse,MOBILE HOME,1999,2019-1-10,2019-1-24
